Tweet;Tradução;Sentimento;Favoritos;Retweets;Data;Location;
HOJE TEM QUEEN MILK E EU TÔ COMO?  . ;TODAY HAS QUEEN MILK AND I'M LIKE? .;2;3;0;27/10/2016;;
É daqui a pouco THE CLAUDIA BR   ;This is the bit THE CLAUDIA BR;2;23;9;27/10/2016;;
Hoje é o penúltimo dia de audições às cegas. Definam o  em uma palavra até agora. ;Today is the penultimate day of the hearings to the blind. To define a word until now.;2;16;8;27/10/2016;;
Hoje é dia de ;Today is the day of;2;7;4;27/10/2016;;
Hoje não tem Cammie mas tem varias outras vozes maravilhosas! ;Today is Cammie but it has several other voices wonderful!;4;3;2;27/10/2016;;
Hoje tem ! Quem tá animado tuíta comigo Ajayô!!!  . ;Today has ! Who's excited tuíta me Ajayô!!! .;2;246;34;27/10/2016;;
Hoje tem audições às cegas no  e nós somos ! Não percam  aprontando todas na telinha!;Today have auditions blind in the and we are ! Don't miss up all on the big screen!;2;10;8;27/10/2016;;
E aí? Numa escala 'técnicos do ' como vocês estão hoje? ;And there? On a scale of 'technical' how are you today?;2;161;51;27/10/2016;;
Eu sou o  5 pq hoje tem ó  hahaha ? ;I am 5 pq today has o hahaha ?;2;8;0;27/10/2016;;
não queria dizer nada, mas acho que vocês deveriam ver o The Voice hoje   ;not wanted to say anything, but I think that you should see the The Voice today;1;87;8;27/10/2016;;
Segura na minha mão que hoje é dia de  e eu tô MUITO ansioso!!! Olha só o que vai rolar: http: ;Secure in my hand that today is the day and I'm VERY anxious!!! Just look at what will roll: http:;2;181;38;27/10/2016;;
Hoje tem  !!!!! Quem aí tá querendo logo q chegue de noite só pra olhar???? ;Today has !!!!! Those who there're wanting to soon as q reaches of the night just to look????;2;9;0;27/10/2016;;
HOJE É DIA DE LACRE! ó   ? ;TODAY IS THE DAY TO SEAL! o ?;1;19;3;27/10/2016;;
