Tweet;Tradução;Sentimento;Favoritos;Retweets;Data;Location;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Salvador/Bahêa.;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Palestina, Brasil;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;;
Michel Teló show no Guarujá  http      ;Michel Teló show in Guarujá http;2;0;0;04/11/2016;Santos;
RT : Bora assistir mais um ???;RT : Bora watch more ???;2;0;10;04/11/2016;;
RT : Enquete  Qual time está mais forte??;RT : a Poll of Which team is stronger??;2;0;1;04/11/2016;São Paulo, Brasil;
Todo mundo curtindo o time  no       ;Everyone enjoying the time in the;3;1;0;04/11/2016;Sao Paulo, Brazil;
RT :     http ;RT : http;2;0;1;04/11/2016;Sao Paulo, Brazil;
RT : E esse cara sensacional já mudou a minha vida. Deus te abençoe Brown! ??  … http ;RT : AND this great guy has already changed my life. God bless you Brown! for sorting me out? ... http;2;0;1;04/11/2016;Sao Paulo, Brazil;
        http ;http;2;1;0;04/11/2016;Sao Paulo, Brazil;
     http ;http;2;3;1;04/11/2016;São Paulo;
RT : Quando eu penso no mozão.  http ;RT : When I think of the mozão. http;2;0;194;04/11/2016;São Paulo, Brasil;
RT : Eu mesma qnd vejo que tem show do  pra eu ir ??  ó http ;RT : I mean I see that you have show so I can go ?? o http;2;0;4;04/11/2016;Parauapebas Para;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;;
E esse cara sensacional já mudou a minha vida. Deus te abençoe Brown! ??  … http ;And this great guy has already changed my life. God bless you Brown! for sorting me out? ... http;3;1;1;04/11/2016;Sao Paulo, Brazil;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;;
RT : Ainda não. Batalhas primeiro.  http ;RT : not Yet. Battles first. http;2;0;6;04/11/2016;Rio de Janeiro, Brasil;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Brasil;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;;
RT : Como fica meu coração de tanto orgulho? Meu lindo no      …;RT : How is my heart with so much pride? My beautiful in ...;2;0;1;04/11/2016;Campo Grande, Brasil;
RT : Quando eu penso no mozão.  http ;RT : When I think of the mozão. http;2;0;194;04/11/2016;Campo Grande, Brasil;
RT : Mais um programa topp demais!!!  ;RT : the More a program topp too!!!;2;0;14;04/11/2016;Fortaleza-Ce;
RT : Só tem fera participando!!! ;RT : Just beast participating!!!;2;0;11;04/11/2016;Fortaleza-Ce;
Como fica meu coração de tanto orgulho? Meu lindo no     … http ;How is my heart with so much pride? My beautiful in ... http;2;4;1;04/11/2016;São Paulo;
RT : Vai começar a melhor fase do programa, com a Ivete Sangalo, As batalhas!  http ;RT : you Will start the best phase of the program, with Ivete Sangalo, The battles! http;1;0;8;04/11/2016;Sorriso, Mato Grosso;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Sorriso, Mato Grosso;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016; Jataí-GO / Brasil  ;
RT : Ivete Sangalo terá a função de Dona da Porra Toda no ;RT : Ivete Sangalo will be the role of the Mistress of the Cum All in;2;0;32;04/11/2016;Sergipe, Brasil;
RT : Vai começar a melhor fase do programa, com a Ivete Sangalo, As batalhas!  http ;RT : you Will start the best phase of the program, with Ivete Sangalo, The battles! http;1;0;8;04/11/2016;Sergipe, Brasil;
RT : Ivete Sangalo terá a função de Dona da Porra Toda no ;RT : Ivete Sangalo will be the role of the Mistress of the Cum All in;2;0;32;04/11/2016;;
RT : - eu comecei a cantar por causa do meu pai. - ele é musico? - não, ou eu cantava ou apanhava.  ;RT : - I started singing because of my father. - he is a musician? - no, or I sang or picked up.;2;0;5;04/11/2016;NATAL;
RT : Quando eu penso no mozão.  http ;RT : When I think of the mozão. http;2;0;194;04/11/2016;Recife, Brasil;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Rio de Janeiro, Brasil;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;fortaleza;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;?bolha.vilanelli.gn? ;
RT : As audições terminaram! Teló, Lulu, Claudinha ou Brown: qual o time mais forte do ?  ? https /t.…;RT : The auditions are over! Teló, Lulu, Claudinha or Brown: which team is stronger ? ? https /t....;1;0;37;04/11/2016;Rio de Janeiro, Brasil;
