Tweet;Tradução;Sentimento;Favoritos;Retweets;Data;Location;
RT : ?? Muito amor envolvido! Vem ver o  cantando a música que fez quando a filha nasceu. ? http ;RT : ?? a Lot of love involved! Come to see the singing the music that he made when his daughter was born. for sorting me out http;1;0;17;26/10/2016;Brasil;
RT : Tô chorando porque descobri que a  me segue nas redes sociais ?? melhor técnica!!  …;RT : I'm crying because I found out that the follow me on the social networks ?? best technique!! ...;2;0;26;26/10/2016;;
Hoje tem!!!  http ;Today has!!! http;2;1;0;27/10/2016;Rio de Janeiro/ RJ;
RT : E aí? Numa escala 'técnicos do ' como vocês estão hoje? http ;RT : AND then? On a scale of 'technical' how are you today? http;2;0;51;27/10/2016;Brasil, México ;
  Hoje tem!!!!Na espera!!!??   Vem que vem...;Today has!!!!In the waiting!!!?? Comes that comes...;2;0;0;27/10/2016;;
   lkkkkkkkkkk ;lkkkkkkkkkk;2;0;0;27/10/2016;Vila Ipiranga;
   http  Mariah Carey And James Packer Are Reportedly Over http ;http Mariah Carey And James Packer Are Reportedly Over http;2;0;0;27/10/2016;;
   http  Here's Gordon Ramsay Ripping Bad Halloween Treats A New One http ;http Here's Gordon Ramsay Ripping Bad Halloween Treats for The New One http;2;0;0;26/10/2016;;
Hoje é noite de  ?;Today is the night ?;2;0;0;27/10/2016;Porto Alegre, Brasil;
RT : Hoje tem audições às cegas no  e nós somos ! Não percam  aprontando todas na telinha!;RT : Today has auditions blind in the and we are ! Don't miss up all on the big screen!;2;0;8;27/10/2016;Rio de Janeiro, Brasil;
   http  22 Awesome Products From Amazon To Put On Your Wish List http ;http 22 Awesome Products From Amazon To Put On Your Wish List-http;2;0;0;26/10/2016;;
RT : HOJE É DIA DE LACRE! ó   ???? http ;RT : TODAY IS THE DAY TO SEAL! o ? for sorting me out?? http;1;0;3;27/10/2016;Taquaritinga-SP;
Acabei de lembrar q hj tem   ?;I remember q hj has can;2;1;0;27/10/2016;São Gonçalo, Rio de Janeiro;
   http  32 Questions We Have After Watching The New “Gilmore Girls” Trail... http ;http 32 Questions We Have After Watching The New “Gilmore Girls” Trail... http;2;0;0;26/10/2016;;
   http  17 Pictures That Are Life When Your Upstairs Neighbors Are Monste... http ;http 17 Pictures That Are Life When Your Upstairs Neighbors Are Monste... http;2;0;0;27/10/2016;;
RT : Hoje é dia do melhor reality musical brasileiro  com a melhor técnica  e mais integrantes…;RT : Today is the day of the best reality brazilian music with the best technique and the most members...;4;0;2;27/10/2016;Brasil;
RT : O dia e a noite, com essa voz, tudo vai terminar muito bem! Camisa Matoso, bem-vinda ao  e ao …;RT : THE day and the night, with that voice, everything will end very well! Shirt Matoso, welcome to the and the ...;0;0;10;26/10/2016;lb 5h dl sg sa pll aa rbr;
RT : Segura na minha mão que hoje é dia de  e eu tô MUITO ansioso!!! ? Olha só o que vai rolar: http ;RT : Safe in my hand that today is the day and I'm VERY anxious!!! Can just look at what will roll: http;3;0;38;27/10/2016;Teresópolis, Brasil;
RT : indo stalkear / voltando de stalkear  http ;RT : going stalkear / returning stalkear http;2;0;568;27/10/2016;perto de macaé;
Alguém pode me dizer que horas começa  ?;Can someone tell me what time it starts ?;2;0;0;27/10/2016;Cristalina-GO;
RT : E aí? Numa escala 'técnicos do ' como vocês estão hoje? http ;RT : AND then? On a scale of 'technical' how are you today? http;2;0;51;27/10/2016;;
RT : Segura na minha mão que hoje é dia de  e eu tô MUITO ansioso!!! ? Olha só o que vai rolar: http ;RT : Safe in my hand that today is the day and I'm VERY anxious!!! Can just look at what will roll: http;3;0;38;27/10/2016;Brasil;
RT : Uhul, hoje é dia de !!! ? A formação dos times continuam e to muito ansiosa para conhecer todo o …;RT : Uhul, today is the day !!! ? The formation of teams continue and to very anxious to know all the ...;2;0;6;27/10/2016;Goiás, Brasil;
RT : Gostei mais ou menos ;RT : I Liked more or less;2;0;1;27/10/2016;;
Sou mais  do que essa merda de  .. Desculpas mais Globo é Globo não tem palhaçada !;I'm more than that shit .. Excuses over the Globe is the Globe has not clowning !;2;1;0;27/10/2016;;
RT : Tô chorando porque descobri que a  me segue nas redes sociais ?? melhor técnica!!  …;RT : I'm crying because I found out that the follow me on the social networks ?? best technique!! ...;2;0;26;26/10/2016;;
     vou mandar pro ;I'll send the pro;2;3;0;26/10/2016;São Caetano do Sul, Brasil;
   http  Watch This Overexcited Baby Koala Run Into A Tree http ;http Watch This Overexcited Baby Koala Run Into The Tree http;2;0;0;27/10/2016;;
   http  17 Things You'll Get If You Grew Up Going To A "Cool" Church http ;http 17 Things You'll Get If You Grew Up Going To The "Cool" Church http;2;0;0;26/10/2016;;
RT : Mariana x Maria Alice cantando Bang Bang foi um verdadeiro tiroteio! ??  http ;RT : Mariana x Maria Alice singing Bang Bang was a real shootout! ?? http;2;0;13;26/10/2016;São Paulo, Brasil;
Daniel show em Praia Grande  http     ;Daniel show on the Beach Great http;2;0;0;27/10/2016;Santos - ;
Eh?????? ;Eh??????;1;0;0;27/10/2016;;
      4;4;2;0;0;27/10/2016;Brasília;
RT : Hora de saber quem tá no topo dos vídeos mais vistos no ! ? Olha aí: http  http ;RT : Time to know who's at the top of the most viewed videos in the ! ? Look there: http http;3;0;13;27/10/2016;Amazonas;
eu tô bem 3 http ;I'm well 3 http;2;0;0;27/10/2016;Salvador/BA;
  Muie, lança logo essas músicas em português q vc disse estarem prontas e a do  necessitados. ;Muie, launches soon these songs in Portuguese q you said they are ready and needy.;2;0;0;27/10/2016;;
1 http ;1 http;2;1;0;27/10/2016;Minas Gerais;
RT : Segura na minha mão que hoje é dia de  e eu tô MUITO ansioso!!! ? Olha só o que vai rolar: http ;RT : Safe in my hand that today is the day and I'm VERY anxious!!! Can just look at what will roll: http;3;0;38;27/10/2016;Minas Gerais, uai;
RT : E aí? Numa escala 'técnicos do ' como vocês estão hoje? http ;RT : AND then? On a scale of 'technical' how are you today? http;2;0;51;27/10/2016;;
RT : Mestre!!! ??????????  ;RT : Master!!! ??????????;2;0;62;27/10/2016;Guarulhos, Brasil;
RT : Trecho exclusivo do musical do  que vai rolar hoje? TEMOS!! Tô surtando desde já com a música escolhida: htt…;RT : exclusive extract of music that will roll today? We HAVE!! I'm surtando since already with the selected song: htt...;2;0;10;27/10/2016;Campinas, São Paulo;
RT : Que sorte a nossa ter você, Bruno Gadiol! http    http ;RT : how lucky are we to have you, Bruno Gadiol! http http;2;0;505;26/10/2016;Rio de Janeiro, Brasil;
RT : Joana Castanheira fez uma versão toda lindinha de Toxic, da ! ? Olha só que suces http ;RT : Joana Castanheira made a version of the entire poppet of Toxic, of ! Can just look at that suces http;2;0;29;27/10/2016;Nova Iguaçu, Brasil;
   http  These Powerful Photos Are Defying Black Male Stereotypes http ;http These Powerful Photos Are Defying Black Male Stereotypes http;2;0;0;26/10/2016;;
RT : Amiga vai pro  http ;RT : Friend goes to http;2;0;1;27/10/2016;Duque de Caxias, RJ;
RT : Sensualidade em ritmo latino! Aprenda a coreografia de "Corazón" com a técnica : http ;RT : Sensuality rhythm Latin! Learn the choreography of "Corazón" with the technique : http;2;0;98;26/10/2016;021 ;
   http  21 Ridiculously Pretty Makeup Looks To Try This Halloween http ;http 21 Ridiculously Pretty Makeup Looks To Try This Halloween http;2;0;0;27/10/2016;;
hoje to só o 4 http ;today to only the 4 http;2;0;0;27/10/2016;Juiz de Fora, MG;
RT : Fabiane Alcântara AHAZOU com hit da ! Dá pra acreditar que ela tava nervosa? Olha só: http ;RT : Fabiane Alcantara!: with hit ! Can you believe she was nervous? Take a look: http;2;0;6;27/10/2016;;
Hoje é dia de  não esqueçam de colocar a "tripinha" para divulgar o ! ? http ;Today is the day to not forget to put the "tripinha" to spread the word ! ? http;2;1;0;27/10/2016;;
   http  17 Reasons Barry And Iris From "The Flash" Are The Best Couple On... http ;http 17 Reasons Barry And Iris From "The Flash" Are The Best Couple On... http;2;0;0;27/10/2016;;
RT : OLA   TENHO INTERESSE  http ;RT : HELLO I am INTERESTED http;2;0;769;26/10/2016;Cabo Frio - RJ;
   http  I Showed A Bunch Of Mad Brexit Headlines To People From 12 Countr... http ;http I Showed A Bunch Of Mad Brexit Headlines To People From 12 Countr... http;2;0;0;26/10/2016;;
   http  Which "Walking Dead" Character Should You Be For Halloween? http ;http Which "Walking Dead" Character Should You Be For Halloween? http;2;0;0;26/10/2016;;
   http  People Keep Sharing This Woman’s Chilling Review Of An Amusement ... http ;http People Keep Sharing This Woman's Chilling Review Of An Amusement ... http;2;0;0;26/10/2016;;
1 http ;1 http;2;0;0;27/10/2016;;
??  - Pra Tudo Acontecer ?  ?Vídeo ??>(link: http  http     úsica;?? - For Everything to Happen ? ?Video ??>(link: http úsica;2;1;0;27/10/2016;Brazil;
RT : ?? Muito amor envolvido! Vem ver o  cantando a música que fez quando a filha nasceu. ? http ;RT : ?? a Lot of love involved! Come to see the singing the music that he made when his daughter was born. for sorting me out http;1;0;17;26/10/2016;Goiás, Brasil;
RT : HOJE É DIA DE LACRE! ó   ???? http ;RT : TODAY IS THE DAY TO SEAL! o ? for sorting me out?? http;1;0;3;27/10/2016;Formosa, Goiás;
RT : Hoje tem ! Quem tá animado tuíta comigo Ajayô!!!   http ;RT : Today has ! Who's excited tuíta me Ajayô!!! http;2;0;34;27/10/2016;Atibaia, Brasil;
É hoje que vamos colocar a tag  lá no topo?  ;It is today that we will put the tag there at the top?;2;0;0;27/10/2016;;
RT : Bora turma!! Dá o play pq hoje é quinta!! The Voice Brasil!!! ????  ó   …;RT : Bora class!! Gives the play coz today is Thursday!! The Voice Brasil!!! ? for sorting me out?? o ...;3;0;53;27/10/2016;Campinas - SP;
RT : E aí? Numa escala 'técnicos do ' como vocês estão hoje? http ;RT : AND then? On a scale of 'technical' how are you today? http;2;0;51;27/10/2016;Campo Grande, Brasil;
RT : .  se emociona,  fica chocado e mais! Veja o que vai rolar no  de hoje: https /…;RT : . if moved, shocked and more! See what you are going to roll in today: https /...;3;0;24;27/10/2016;rmll pra sempre!;
   http  If You Get 15/20 In This Test, You Must Be A Medical Student http ;http If You Get 15/20 In This Test, You Must Be A Medical Student http;2;0;0;27/10/2016;;
