Tweet;Tradução;Sentimento;Favoritos;Retweets;Data;Location;
The Voice Brasil: Audições Às Cegas e mais http ;The Voice Brazil: Auditions Blindly and more http;2;0;0;27/10/2016;Brasília-DF;
Nigeriano do "The voice Brasil" revela que adiou planos para entrar no reality. http  http ;Nigerian of "The voice Brazil" reveals that it has postponed plans to enter in reality. http http;2;4;1;27/10/2016;Porto Alegre;
Aline Rosa que atrapalham a avaliação dos ótimos Rick Bonadio e Paulo Micklos. Em comparação com o The Voice Brasil, digamos Rick e Paulo;Aline Rosa that hinder the evaluation of the great Rick Bonadio and Paul Micklos. In comparison with the The Voice Brazil, let's say Rick and Paul;2;0;0;26/10/2016;;
RT : Esse X Factor Brasil é tipo uma segunda divisão do The Voice.;RT : This X Factor Brazil is like a second division of the Voice.;2;0;55;27/10/2016;Recife, Brasil;
Vamos preparar a pipoca pq já já vai começar o The Voice Brasil...?;Let's prepare the popcorn cuz now you'll also get the The Voice Brazil...?;2;1;0;27/10/2016;Centro, Rio de Janeiro;
Minhas amigas achando que Whatsapp é The Voice Brasil;My friends think that Whatsapp is The Voice Brazil;2;0;1;27/10/2016;;
RT : ? assiste the voice brasil ?;RT : ? watch the voice brasil ?;2;0;55;26/10/2016;Las Vegas;
Essa novela das nove irrita qualquer um podia ser the voice brasil ??;This novel of the nine irritates anyone could be the voice brasil ??;1;0;0;26/10/2016;Itaqui, Rio Grande do Sul;
  the voice brasil*** desculpa;the voice brasil*** sorry;2;0;0;27/10/2016;;
RT : Rapidinhas do dia: “Audiência do The Voice Brasil ultrapassa temporada anterior” http ;RT : Quickies of the day: “the Audience of the Voice Brazil surpasses the previous season” http;3;0;2;27/10/2016;;
hoje tem the voice Brasil !!;today has the voice Brasil !!;2;0;0;27/10/2016;Brasil;
RT : ? assiste the voice brasil ?;RT : ? watch the voice brasil ?;2;0;55;26/10/2016;Rio de Janeiro, Brasil ?;
RT : Lumi levantando a galera!  http    http ;RT : Lumi raising the galley! http http;2;0;79;25/10/2016;salvador;
RT : Rapidinhas do dia: “Elias Abrão faz desabafo sobre rumores de demissão da RedeTV” http  http ;RT : Quickies of the day: “Elias, Abram makes a rant about rumors of the resignation of the RedeTV” http http;1;0;2;27/10/2016;RJ;
RT : Rapidinhas do dia: “Audiência do The Voice Brasil ultrapassa temporada anterior” http  http ;RT : Quickies of the day: “the Audience of the Voice Brazil surpasses the previous season” http;3;0;2;27/10/2016;;
Quando tem jogo do SPFC os cara passa The Voice Brasil, aí tem Cruzeiro x Grêmio a Globo transmite pra São Paulo...;When you have the game. the guy passes The Voice Brazil, there has Cruzeiro x Gremio Globo transmits to São Paulo...;1;0;0;26/10/2016;Guararema, Brasil;
RT : Esse X Factor Brasil é tipo uma segunda divisão do The Voice.;RT : This X Factor Brazil is like a second division of the Voice.;2;0;55;27/10/2016;Recife, Brasil;
eu queria muito q o x factor br desse certo pq seria uma alternativa nacional ao lixo do the voice brasil;I really wanted the x factor br of this right the result would be a national alternative to the garbage of the voice brazil;1;0;0;26/10/2016;Salvador-BA;
RT : Bora turma!! Dá o play pq hoje é quinta!! The Voice Brasil!!! ????  ó   …;RT : Bora class!! Gives the play coz today is Thursday!! The Voice Brasil!!! ? for sorting me out?? o ...;3;0;53;27/10/2016;Brasil, México ;
RT : : Escolham uma menção para usarmos durante o The Voice Brasil hoje (27/10 ;RT: RT : Choose a term for us to use during the The Voice Brazil today (27/10;2;0;3;27/10/2016;Bahia;
RT : Última audição às cegas do The Voice Brasil hoje. Tudo indica que teremos a cantora amapaense Ariel na telinha da Globo.…;RT : Last hearing to the blind of the Voice Brazil today. Everything indicates that we will have the singer macapá Ariel on the big screen of the Globe....;2;0;5;27/10/2016;Macapá-Fortaleza/Amapá-Ceará;
Hoje tem the voice brasil;Today has the voice brasil;2;2;0;27/10/2016;;
RT : Rapidinhas do dia: “SBT exibe nova chamada de Carinha de Anjo com as freiras” http  , http ;RT : Quickies of the day: “SBT displays new call of Angel's Face with the nuns” http , http;1;0;2;27/10/2016;RJ;
